route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0001,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0002,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0003,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0004,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0005,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0006,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0007,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0008,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0009,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0010,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0011,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0012,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0013,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0014,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0015,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0016,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0017,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0018,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0019,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0020,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0021,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0022,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0023,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0024,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0025,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0026,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0027,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0028,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0029,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0030,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0031,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0032,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0033,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0034,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0035,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0036,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0037,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0038,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0039,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0040,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0041,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0042,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0043,Chennai International Airport,0,SHP_CMRL_BLUE_0
CMRL_BLUE,SVC_ALL,TRIP_CMRL_BLUE_0_0044,Chennai International Airport,0,SHP_CMRL_BLUE_0
